Hour,Weekday,start station id,RideInitiationCount,N_DryBulbTemp,N_RelativeHumidity,N_WindSpeed
12AM-2AM,Sun,67,2,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,36,2,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,46,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,10,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,47,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,107,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,58,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,9,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,88,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,89,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,133,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,27,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,80,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,22,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,39,3,0.45023696682464454,0.87356321839080464,0.43661971830985913
12AM-2AM,Sun,178,1,0.45023696682464454,0.87356321839080464,0.43661971830985913
2AM-4AM,Sun,42,1,0.43601895734597157,0.91954022988505746,0.43661971830985913
2AM-4AM,Sun,4,1,0.43601895734597157,0.91954022988505746,0.43661971830985913
2AM-4AM,Sun,115,2,0.43601895734597157,0.91954022988505746,0.43661971830985913
2AM-4AM,Sun,161,1,0.43601895734597157,0.91954022988505746,0.43661971830985913
2AM-4AM,Sun,67,1,0.43601895734597157,0.91954022988505746,0.43661971830985913
4AM-6AM,Sun,67,1,0.43601895734597157,0.896551724137931,0.43661971830985913
4AM-6AM,Sun,102,1,0.43601895734597157,0.896551724137931,0.43661971830985913
4AM-6AM,Sun,33,1,0.43601895734597157,0.896551724137931,0.43661971830985913
4AM-6AM,Sun,84,2,0.43601895734597157,0.896551724137931,0.43661971830985913
4AM-6AM,Sun,25,1,0.43601895734597157,0.896551724137931,0.43661971830985913
4AM-6AM,Sun,131,1,0.43601895734597157,0.896551724137931,0.43661971830985913
6AM-8AM,Sun,152,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,178,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,51,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,27,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,21,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,23,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,32,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,94,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
6AM-8AM,Sun,49,1,0.43601895734597157,0.81609195402298851,0.40845070422535212
8AM-10AM,Sun,54,2,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,131,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,89,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,146,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,179,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,30,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,96,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,190,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,8,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,41,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,9,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,110,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,197,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,93,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,33,1,0.47393364928909953,0.5977011494252874,0.49295774647887325
8AM-10AM,Sun,68,2,0.47393364928909953,0.5977011494252874,0.49295774647887325
10AM-12PM,Sun,178,3,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,145,2,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,19,2,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,94,1,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,115,1,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,105,1,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,36,2,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,46,2,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,180,1,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,102,2,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,87,1,0.48341232227488151,0.45977011494252873,0.56338028169014087
10AM-12PM,Sun,161,1,0.48341232227488151,0.45977011494252873,0.56338028169014087
